"AttributeName","Consistency","ValueIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Producer","1.0","Producer-{dbpedia_10293}","{Gregg Wattenberg}","Gregg Wattenberg",,
"Writer","1.0","Writer-{dbpedia_2178}","{Salaam Remi}","Salaam Remi",,
"Album","1.0","Album-{dbpedia_272}","{Crystal Castles II,Standing in the Dark}","Crystal Castles II,Standing in the Dark",,
"RecordLabel","1.0","RecordLabel-{dbpedia_3947}","{Fueled by Ramen LLC}","Fueled by Ramen LLC",,
"Name","0.5","Name-{musicbrainz_32371|spotify_6584}","{Don't Mess With Ouija Boards|Don't Mess With Ouija Boards}","Don't Mess With Ouija Boards",,
"Producer","1.0","Producer-{dbpedia_11491}","{Flume}","Flume",,
"Name","0.0","Name-{dbpedia_2545|spotify_14093}","{Company (Justin Bieber song)|Company}","Company",,
"Artist","1.0","Artist-{spotify_11019|dbpedia_862}","{[Ariana Grande]|[Ariana Grande]}","[Ariana Grande]",,
"Name","0.0","Name-{dbpedia_4425|spotify_8070}","{Sugar (Robin Schulz song)|Sugar (feat. Francesco Yates)}","Sugar (Robin Schulz song)",,
"Writer","1.0","Writer-{dbpedia_3376}","{Digital Farm Animals}","Digital Farm Animals",,
"Name","0.25","Name-{musicbrainz_28062|musicbrainz_28063|musicbrainz_29398|spotify_5543}","{Steve McQueen (Maps Remix)|Steve McQueen (BeatauCue Remix)|Steve McQueen|Steve McQueen}","Steve McQueen",,
"Artist","1.0","Artist-{dbpedia_3745|spotify_16757}","{[Three Days Grace]|[Three Days Grace]}","[Three Days Grace]",,
"Writer","1.0","Writer-{dbpedia_3110}","{Benny Benassi}","Benny Benassi",,
"Duration","0.5","Duration-{spotify_5616|musicbrainz_6410}","{127640.0|127000.0}","127320.0",,
"Writer","1.0","Writer-{dbpedia_2177}","{Stargate}","Stargate",,
"Producer","1.0","Producer-{dbpedia_9087}","{Justin Bieber,Hit-Boy}","Justin Bieber,Hit-Boy",,
"Name","0.0","Name-{musicbrainz_7039|dbpedia_9735}","{Heavyweight|Heavyweight (song)}","Heavyweight",,
"Producer","1.0","Producer-{dbpedia_11492}","{Tommy Lee James}","Tommy Lee James",,
"Artist","0.6666666666666666","Artist-{spotify_9112|spotify_11224|dbpedia_4042}","{[Mike Posner]|[Mike Posner, Seeb]|[Mike Posner]}","[Mike Posner, Seeb]",,
"Duration","0.5","Duration-{spotify_13168|musicbrainz_114}","{277623.0|277623.0}","277623.0",,
"Duration","0.0","Duration-{spotify_17982|musicbrainz_6716}","{207719.0|124000.0}","165859.5",,
"Name","0.5","Name-{dbpedia_1866|spotify_4398}","{Little Miss|Little Miss}","Little Miss",,
"RecordLabel","1.0","RecordLabel-{dbpedia_5244}","{Warner Music Group Corp.,Elektra Records}","Warner Music Group Corp.,Elektra Records",,
"Duration","1.0","Duration-{spotify_13082}","{185413.0}","185413.0",,
"Duration","1.0","Duration-{spotify_12983}","{234040.0}","234040.0",,
"Year","0.0","Year-{dbpedia_10653|spotify_5456}","{2011-01-01T00:00|2010-01-01T00:00}","2011-01-01T00:00",,
"Producer","1.0","Producer-{dbpedia_11493}","{Adam Anders,Peer Åström}","Adam Anders,Peer Åström",,
"RecordLabel","1.0","RecordLabel-{dbpedia_6441}","{Sony Music Entertainment Inc.}","Sony Music Entertainment Inc.",,
"Duration","1.0","Duration-{spotify_11785}","{237480.0}","237480.0",,
"Producer","1.0","Producer-{dbpedia_3827}","{Kevin Churko,Dan Donegan,Mike Wengren,David Draiman}","Kevin Churko,Dan Donegan,Mike Wengren,David Draiman",,
"Year","1.0","Year-{spotify_1224|dbpedia_1776}","{2011-01-01T00:00|2011-01-01T00:00}","2011-01-01T00:00",,
"Duration","0.5","Duration-{musicbrainz_5459|spotify_1475}","{209000.0|209386.0}","209193.0",,
"Duration","1.0","Duration-{spotify_12982}","{233173.0}","233173.0",,
"Duration","1.0","Duration-{spotify_2259|spotify_10689}","{184120.0|202627.0}","193373.5",,
"Year","1.0","Year-{dbpedia_524|musicbrainz_4691}","{2010-01-01T00:00|2010-01-01T00:00}","2010-01-01T00:00",,
"Artist","1.0","Artist-{dbpedia_2379|spotify_12221}","{[Post Malone]|[Post Malone]}","[Post Malone]",,
"RecordLabel","1.0","RecordLabel-{dbpedia_3946}","{Vanguard Records}","Vanguard Records",,
"Artist","0.3333333333333333","Artist-{spotify_2416|dbpedia_391|spotify_11790}","{[Rihanna]|[Rihanna]|[Rihanna]}","[Rihanna]",,
"Artist","0.25","Artist-{dbpedia_2528|spotify_13971|dbpedia_2529|dbpedia_1947}","{[Schoolboy Q]|[Dustin Lynch, Schoolboy Q]|[Schoolboy Q]|[Dustin Lynch]}","[Dustin Lynch, Schoolboy Q]",,
"Producer","1.0","Producer-{dbpedia_9085}","{Ben Hayslip,Rhett Akins}","Ben Hayslip,Rhett Akins",,
"Genre","0.0","Genre-{dbpedia_7244|musicbrainz_15694}","{Folktronica|indie pop}","Folktronica",,
"Duration","1.0","Duration-{spotify_11784}","{272160.0}","272160.0",,
"Producer","1.0","Producer-{dbpedia_3828}","{Natalie Hemby,Shane McAnally,Luke Laird}","Natalie Hemby,Shane McAnally,Luke Laird",,
"Year","0.0","Year-{dbpedia_1500|spotify_10742}","{2012-01-01T00:00|2011-01-01T00:00}","2012-01-01T00:00",,
"Year","1.0","Year-{spotify_9868|dbpedia_7780}","{2012-01-01T00:00|2012-01-01T00:00}","2012-01-01T00:00",,
"Duration","1.0","Duration-{spotify_4738}","{209453.0}","209453.0",,
"Duration","0.5","Duration-{spotify_15909|musicbrainz_17684}","{256240.0|256240.0}","256240.0",,
"Duration","1.0","Duration-{musicbrainz_6864}","{187000.0}","187000.0",,
"Name","1.0","Name-{dbpedia_6990|spotify_9116}","{Yes Girl|yes girl}","Yes Girl",,
"Genre","0.0","Genre-{dbpedia_2134|musicbrainz_18747}","{Experimental rock,Art rock,Indie pop|indie rock}","Experimental rock,Art rock,Indie pop",,
"Artist","0.25","Artist-{musicbrainz_4539|dbpedia_443|dbpedia_446|spotify_16979}","{[Onerepublic]|[Ben Haenow]|[Onerepublic]|[Onerepublic]}","[Onerepublic]",,
"Artist","1.0","Artist-{spotify_8065|dbpedia_528}","{[Tim Mcgraw]|[Tim Mcgraw]}","[Tim Mcgraw]",,
"RecordLabel","1.0","RecordLabel-{dbpedia_3943}","{Interscope Records}","Interscope Records",,
"Duration","1.0","Duration-{spotify_11783}","{307347.0}","307347.0",,
"Genre","1.0","Genre-{dbpedia_1140}","{Pop rock,Teen pop}","Pop rock,Teen pop",,
"Duration","0.0","Duration-{musicbrainz_2595|spotify_2223}","{258000.0|203960.0}","230980.0",,
"Genre","0.0","Genre-{musicbrainz_22947|dbpedia_9374}","{hard rock|Hard rock,Post-grunge}","Hard rock,Post-grunge",,
"Name","0.0","Name-{dbpedia_6951|spotify_8767}","{Feel This Moment|Feel This Moment (feat. Christina Aguilera)}","Feel This Moment",,
"Artist","0.5","Artist-{spotify_10834|dbpedia_4620}","{[Chief Keef]|[Chief Keef]}","[Chief Keef]",,
"Year","1.0","Year-{spotify_11756|dbpedia_282}","{2011-01-01T00:00|2011-01-01T00:00}","2011-01-01T00:00",,
"Year","0.4","Year-{spotify_19832|musicbrainz_25012|musicbrainz_25051|musicbrainz_25050|dbpedia_6680}","{2013-01-01T00:00|2015-01-01T00:00|2016-01-01T00:00|2013-01-01T00:00|2012-01-01T00:00}","2013-01-01T00:00",,
"Artist","0.8333333333333334","Artist-{dbpedia_1522|musicbrainz_6631|musicbrainz_6644|musicbrainz_6645|musicbrainz_6646|spotify_11014}","{[American Authors]|[American Authors]|[American Authors]|[American Authors]|[American Authors]|[American Authors]}","[American Authors]",,
"Artist","0.75","Artist-{musicbrainz_3092|musicbrainz_3104|dbpedia_6381|spotify_16905}","{[Daughtry]|[Daughtry]|[Daughtry]|[Daughtry]}","[Daughtry]",,
"Duration","1.0","Duration-{musicbrainz_6865}","{213000.0}","213000.0",,
"Producer","1.0","Producer-{dbpedia_5125}","{Jerrod Niemann}","Jerrod Niemann",,
"Artist","1.0","Artist-{spotify_12096|dbpedia_555}","{[Carrie Underwood]|[Carrie Underwood]}","[Carrie Underwood]",,
"Producer","1.0","Producer-{dbpedia_6589}","{Ryan Key,Longineu W. Parsons III}","Ryan Key,Longineu W. Parsons III",,
"Producer","1.0","Producer-{dbpedia_11496}","{Jhené Aiko}","Jhené Aiko",,
"RecordLabel","0.5","RecordLabel-{dbpedia_3104|dbpedia_5829}","{Polo Grounds Music,RCA Records|RCA Records,Polo Grounds Music}","Polo Grounds Music,RCA Records",,
"Duration","1.0","Duration-{spotify_11782}","{227773.0}","227773.0",,
"Album","1.0","Album-{musicbrainz_27295|dbpedia_541}","{Dark Before Dawn|Dark Before Dawn}","Dark Before Dawn",,
"Year","1.0","Year-{spotify_8929|dbpedia_11130}","{2014-01-01T00:00|2014-01-01T00:00}","2014-01-01T00:00",,
"Writer","1.0","Writer-{dbpedia_1807}","{Espionage}","Espionage",,
"Name","0.3333333333333333","Name-{spotify_1|dbpedia_1610|musicbrainz_7903}","{Expectation|Expectation (song)|Expectation}","Expectation",,
"Writer","1.0","Writer-{dbpedia_4569}","{Aaron Bruno}","Aaron Bruno",,
"RecordLabel","1.0","RecordLabel-{dbpedia_581}","{Universal Music Group Nashville}","Universal Music Group Nashville",,
"Duration","1.0","Duration-{spotify_13074}","{178840.0}","178840.0",,
"Producer","1.0","Producer-{dbpedia_10021}","{Morrissey}","Morrissey",,
"Name","0.5","Name-{spotify_11998|dbpedia_7804}","{Mess Is Mine|Mess Is Mine}","Mess Is Mine",,
"Producer","1.0","Producer-{dbpedia_10287}","{The Strokes}","The Strokes",,
"Writer","1.0","Writer-{dbpedia_7065}","{Jonas Quant}","Jonas Quant",,
"Year","0.5","Year-{musicbrainz_17995|spotify_13001}","{2013-01-01T00:00|2013-01-01T00:00}","2013-01-01T00:00",,
"Name","0.5","Name-{spotify_8700|dbpedia_9134}","{Alligator Sky|Alligator Sky}","Alligator Sky",,
"Duration","1.0","Duration-{spotify_9895}","{258899.0}","258899.0",,
"Genre","1.0","Genre-{dbpedia_8440}","{Alternative dance,Synthpop}","Alternative dance,Synthpop",,
"Producer","1.0","Producer-{dbpedia_7783}","{Jason Evigan,Jonas Jeberg}","Jason Evigan,Jonas Jeberg",,
"Duration","1.0","Duration-{spotify_16670}","{220520.0}","220520.0",,
"Writer","1.0","Writer-{dbpedia_8263}","{Joey Moi}","Joey Moi",,
"Album","1.0","Album-{musicbrainz_14052|dbpedia_9603|musicbrainz_8539}","{The Connection|The Connection|The Connection}","The Connection",,
"RecordLabel","1.0","RecordLabel-{dbpedia_582}","{Warner Bros. Records}","Warner Bros. Records",,
"Writer","1.0","Writer-{dbpedia_4304}","{Scott Hendricks,Marshall Altman}","Scott Hendricks,Marshall Altman",,
"Producer","1.0","Producer-{dbpedia_5385}","{Ashley Gorley,Zach Crowell,Hillary Lindsey}","Ashley Gorley,Zach Crowell,Hillary Lindsey",,
"Name","0.5","Name-{spotify_9001|dbpedia_10432}","{Kiss You Tonight|Kiss You Tonight}","Kiss You Tonight",,
"Year","0.5","Year-{spotify_11782|dbpedia_11079}","{2011-01-01T00:00|2011-01-01T00:00}","2011-01-01T00:00",,
"Duration","1.0","Duration-{spotify_11776}","{244307.0}","244307.0",,
"Producer","1.0","Producer-{dbpedia_3823}","{Jeremy Stover,Chris Janson}","Jeremy Stover,Chris Janson",,
"Name","0.0","Name-{dbpedia_3301|spotify_12253}","{Close (Nick Jonas song)|Close}","Close",,
"Genre","0.6666666666666666","Genre-{dbpedia_6444|musicbrainz_3503|musicbrainz_3494}","{Indietronica,Indie rock|rock|rock}","Indietronica,Indie rock",,
"Year","1.0","Year-{musicbrainz_2651|dbpedia_2051}","{2016-01-01T00:00|2016-01-01T00:00}","2016-01-01T00:00",,
"Artist","0.5","Artist-{dbpedia_582|spotify_11071}","{[Dan + Shay]|[Dan + Shay]}","[Dan + Shay]",,
"Year","0.0","Year-{spotify_18731|dbpedia_3699}","{2012-01-01T00:00|2011-01-01T00:00}","2012-01-01T00:00",,
"RecordLabel","1.0","RecordLabel-{dbpedia_4053}","{Big Machine Records}","Big Machine Records",,
"Producer","1.0","Producer-{dbpedia_1424}","{Chad Kroeger}","Chad Kroeger",,
"Year","1.0","Year-{dbpedia_5837|musicbrainz_9813}","{2012-01-01T00:00|2012-01-01T00:00}","2012-01-01T00:00",,
"Writer","1.0","Writer-{dbpedia_3103}","{Ross Orton}","Ross Orton",,
"Producer","1.0","Producer-{dbpedia_11220}","{Ed Robertson}","Ed Robertson",,
"Producer","1.0","Producer-{dbpedia_10289}","{Ashley Gorley,Zach Crowell,Cole Swindell}","Ashley Gorley,Zach Crowell,Cole Swindell",,
"Producer","1.0","Producer-{dbpedia_2888}","{Jason Derulo,Fred McFarlane,William Attaway,Lord Burgess}","Jason Derulo,Fred McFarlane,William Attaway,Lord Burgess",,
"Genre","1.0","Genre-{dbpedia_7241}","{Bro-country}","Bro-country",,
"Writer","1.0","Writer-{dbpedia_4567}","{Alex Aldi,Benny Blanco,Michael Angelakos,Chris Zane}","Alex Aldi,Benny Blanco,Michael Angelakos,Chris Zane",,
"Year","0.6666666666666666","Year-{dbpedia_1989|dbpedia_5543|spotify_1674}","{2013-01-01T00:00|2015-01-01T00:00|2015-01-01T00:00}","2015-01-01T00:00",,
"RecordLabel","1.0","RecordLabel-{dbpedia_1558}","{Shady Records,Interscope Records}","Shady Records,Interscope Records",,
"Producer","1.0","Producer-{dbpedia_10023}","{Jill Scott}","Jill Scott",,
"Artist","1.0","Artist-{spotify_11902|dbpedia_8463}","{[Ellie Goulding]|[Ellie Goulding]}","[Ellie Goulding]",,
"Duration","0.0","Duration-{musicbrainz_13462|musicbrainz_13464}","{265000.0|306000.0}","285500.0",,
"Duration","1.0","Duration-{spotify_11775}","{221293.0}","221293.0",,
"Duration","1.0","Duration-{spotify_9897}","{275787.0}","275787.0",,
"RecordLabel","1.0","RecordLabel-{dbpedia_4050}","{Warner Bros. Records}","Warner Bros. Records",,
"Producer","1.0","Producer-{dbpedia_5122}","{Bruno Mars}","Bruno Mars",,
"Artist","1.0","Artist-{spotify_3568|musicbrainz_29681}","{[Pierce The Veil]|[Pierce The Veil]}","[Pierce The Veil]",,
"Name","0.0","Name-{musicbrainz_28018|dbpedia_8251}","{When We Were Beautiful (live)|When We Were Beautiful (song)}","When We Were Beautiful (live)",,
"Name","0.5","Name-{spotify_13957|dbpedia_6578}","{Girls Chase Boys|Girls Chase Boys}","Girls Chase Boys",,
"Duration","1.0","Duration-{spotify_16672}","{241853.0}","241853.0",,
"Year","1.0","Year-{dbpedia_8322|spotify_462}","{2014-01-01T00:00|2014-01-01T00:00}","2014-01-01T00:00",,
"Producer","1.0","Producer-{dbpedia_926}","{Kane Beatz,Lil Wayne,Andrew Canton}","Kane Beatz,Lil Wayne,Andrew Canton",,
"Year","1.0","Year-{dbpedia_2011|spotify_15594}","{2010-01-01T00:00|2010-01-01T00:00}","2010-01-01T00:00",,
"Year","0.5","Year-{musicbrainz_29674|spotify_14784}","{2012-01-01T00:00|2012-01-01T00:00}","2012-01-01T00:00",,
"Duration","1.0","Duration-{spotify_4746}","{326107.0}","326107.0",,
"Producer","1.0","Producer-{dbpedia_4189}","{Michael Carter,Luke Bryan}","Michael Carter,Luke Bryan",,
"Album","0.5","Album-{dbpedia_10467|musicbrainz_25369|musicbrainz_25368|musicbrainz_31009}","{The Path of Totality|Chiprave Monstre|Chiprave Monstre|The Path of Totality}","Chiprave Monstre",,
"Artist","1.0","Artist-{dbpedia_10291|spotify_7057}","{[Plies]|[Plies]}","[Plies]",,
"Duration","1.0","Duration-{spotify_13071}","{193640.0}","193640.0",,
"RecordLabel","1.0","RecordLabel-{dbpedia_580}","{Glassnote Records,V2 Records}","Glassnote Records,V2 Records",,
"Name","0.3333333333333333","Name-{dbpedia_7447|musicbrainz_14395|musicbrainz_6724}","{On the Backs of Angels|On the Backs of Angels (instrumental)|On the Backs of Angels}","On the Backs of Angels",,
"Writer","1.0","Writer-{dbpedia_4302}","{Klangkarussell}","Klangkarussell",,
"Year","1.0","Year-{dbpedia_4977|spotify_15682}","{2011-01-01T00:00|2011-01-01T00:00}","2011-01-01T00:00",,
"Writer","1.0","Writer-{dbpedia_9465}","{Robert John \\\\Mutt\\\\ Lange,Robert John ""Mutt"" Lange}","Robert John \\\\Mutt\\\\ Lange,Robert John ""Mutt"" Lange",,
"Artist","0.6666666666666666","Artist-{spotify_11109|dbpedia_769|spotify_4983}","{[X Ambassadors]|[X Ambassadors]|[X Ambassadors, Erich Lee]}","[Erich Lee, X Ambassadors]",,
"Duration","1.0","Duration-{spotify_13911}","{185987.0}","185987.0",,
"Producer","1.0","Producer-{dbpedia_1688}","{Alex da Kid}","Alex da Kid",,
"Name","0.5","Name-{musicbrainz_12380|spotify_9797}","{Demiurge|Demiurge}","Demiurge",,
"Duration","0.5","Duration-{spotify_19644|musicbrainz_17747}","{210333.0|210333.0}","210333.0",,
"Producer","1.0","Producer-{dbpedia_11222}","{Skrillex}","Skrillex",,
"Producer","1.0","Producer-{dbpedia_3826}","{Jaida Dreyer}","Jaida Dreyer",,
"Name","0.0","Name-{dbpedia_7480|spotify_13022}","{Save It for a Rainy Day (Kenny Chesney song)|Save It for a Rainy Day}","Save It for a Rainy Day",,
"Album","1.0","Album-{musicbrainz_22919|dbpedia_1935}","{Bringing Down the Giant|Bringing Down the Giant}","Bringing Down the Giant",,
"Producer","1.0","Producer-{dbpedia_927}","{Jennifer Nettles,Kevin Griffin (singer),Kristian Bush,Shy Carter,Kevin Griffin}","Jennifer Nettles,Kevin Griffin (singer),Kristian Bush,Shy Carter,Kevin Griffin",,
"Album","1.0","Album-{dbpedia_2652}","{Speak Now}","Speak Now",,
"Producer","1.0","Producer-{dbpedia_10025}","{Wale,Tiara Thomas}","Wale,Tiara Thomas",,
"Writer","1.0","Writer-{dbpedia_6964}","{Dave Sardy}","Dave Sardy",,
"Producer","1.0","Producer-{dbpedia_8980}","{James Michael,Blair Daly}","James Michael,Blair Daly",,
"Name","0.5","Name-{spotify_9068|dbpedia_2370}","{Power of Positive Drinkin'|Power of Positive Drinkin'}","Power of Positive Drinkin'",,
"Producer","1.0","Producer-{dbpedia_6585}","{Kid Harpoon,Calvin Harris,Florence Welch}","Kid Harpoon,Calvin Harris,Florence Welch",,
"Genre","0.0","Genre-{dbpedia_2004|musicbrainz_715}","{Alternative rock,Electro|alternative rock}","Alternative rock,Electro",,
"Album","0.5","Album-{musicbrainz_17376|dbpedia_7959}","{Connect|Connect}","Connect",,
"Writer","1.0","Writer-{dbpedia_1803}","{Alesso}","Alesso",,
"Name","0.0","Name-{dbpedia_2825|spotify_5506}","{IYiYi|iYiYi (feat. Flo Rida)}","IYiYi",,
"Writer","1.0","Writer-{dbpedia_2168}","{Danger Mouse,The Black Keys}","Danger Mouse,The Black Keys",,
"Name","0.25","Name-{musicbrainz_27273|musicbrainz_27226|dbpedia_6371|spotify_3555}","{Whispers in the Dark (live)|Whispers in the Dark|Whispers in the Dark (Mumford , Sons song)|Whispers in the Dark}","Whispers in the Dark",,
"Duration","1.0","Duration-{spotify_3545}","{289560.0}","289560.0",,
"Year","1.0","Year-{dbpedia_1310|spotify_19983}","{2015-01-01T00:00|2015-01-01T00:00}","2015-01-01T00:00",,
"Artist","1.0","Artist-{spotify_13050|dbpedia_4066}","{[Jon Pardi]|[Jon Pardi]}","[Jon Pardi]",,
"Name","0.5","Name-{spotify_15852|musicbrainz_16226}","{Hannah Hunt|Hannah Hunt}","Hannah Hunt",,
"Producer","1.0","Producer-{dbpedia_10026}","{Needlz}","Needlz",,
"Producer","1.0","Producer-{dbpedia_4183}","{Benjamin Burnley,Benjamin Jackson Burnley IV}","Benjamin Burnley,Benjamin Jackson Burnley IV",,
"Year","0.0","Year-{dbpedia_4758|spotify_10820}","{2012-01-01T00:00|2011-01-01T00:00}","2012-01-01T00:00",,
"Year","0.6666666666666666","Year-{dbpedia_4591|dbpedia_7249|spotify_12029}","{2014-01-01T00:00|2014-01-01T00:00|2014-01-01T00:00}","2014-01-01T00:00",,
"Writer","1.0","Writer-{dbpedia_2167}","{Tim McGraw,Byron Gallimore}","Tim McGraw,Byron Gallimore",,
"Writer","1.0","Writer-{dbpedia_4300}","{Ricky Reed}","Ricky Reed",,
"Album","1.0","Album-{dbpedia_5152}","{Hard 2 Love}","Hard 2 Love",,
"Duration","0.5","Duration-{spotify_12875|musicbrainz_17963}","{206334.0|206333.0}","206333.5",,
"Name","0.25","Name-{dbpedia_9412|musicbrainz_20522|musicbrainz_20532|spotify_19486}","{Spanish Sahara (song)|Spanish Sahara (sonar)|Spanish Sahara|Spanish Sahara}","Spanish Sahara",,
"Duration","0.5","Duration-{spotify_1536|musicbrainz_3684}","{207667.0|207000.0}","207333.5",,
"Producer","1.0","Producer-{dbpedia_7780}","{Hit-Boy,Kanye West,LL Cool J,Marley Marl}","Hit-Boy,Kanye West,LL Cool J,Marley Marl",,
"Name","0.5","Name-{spotify_17796|musicbrainz_33215}","{Flapper Girl|Flapper Girl}","Flapper Girl",,
"Artist","1.0","Artist-{dbpedia_3565|musicbrainz_2066|spotify_10829}","{[Imagine Dragons]|[Imagine Dragons]|[Imagine Dragons]}","[Imagine Dragons]",,
"RecordLabel","1.0","RecordLabel-{dbpedia_3950}","{Wichita Recordings,Warner Bros. Records}","Wichita Recordings,Warner Bros. Records",,
"Artist","1.0","Artist-{dbpedia_10892|spotify_16819}","{[Zara Larsson]|[Zara Larsson]}","[Zara Larsson]",,
"Writer","1.0","Writer-{dbpedia_7060}","{GoonRock}","GoonRock",,
"Name","1.0","Name-{spotify_3701|musicbrainz_17973}","{Sound Of Change|Sound of Change}","Sound Of Change",,
"Name","0.0","Name-{spotify_1259|musicbrainz_27252}","{Hold on to What You Believe - Live from Shepherd's Bush Empire, 2010|Hold On to What You Believe}","Hold On to What You Believe",,
"Duration","1.0","Duration-{spotify_2345}","{255133.0}","255133.0",,
"Name","0.0","Name-{dbpedia_4183|spotify_15080}","{Failure (Breaking Benjamin song)|Failure}","Failure",,
"Duration","1.0","Duration-{spotify_8055|spotify_16240}","{211975.0|211975.0}","211975.0",,
"Genre","0.0","Genre-{dbpedia_2436|musicbrainz_33177}","{Pop rock|breakeven}","breakeven",,
"RecordLabel","1.0","RecordLabel-{dbpedia_2752}","{Interscope Records,Universal Music Group, Inc.}","Interscope Records,Universal Music Group, Inc.",,
"Year","1.0","Year-{dbpedia_1643|spotify_15814}","{2012-01-01T00:00|2012-01-01T00:00}","2012-01-01T00:00",,
"Duration","1.0","Duration-{spotify_11779}","{223053.0}","223053.0",,
"Writer","1.0","Writer-{dbpedia_3368}","{Ed Cash}","Ed Cash",,
"RecordLabel","1.0","RecordLabel-{dbpedia_10757}","{Universal Music Group Nashville}","Universal Music Group Nashville",,
"Writer","1.0","Writer-{dbpedia_3102}","{Toby Keith}","Toby Keith",,
"Name","0.0","Name-{dbpedia_2418|spotify_12063}","{Dirt (Florida Georgia Line song)|Dirt}","Dirt",,
"Producer","1.0","Producer-{dbpedia_2625}","{Rick Nowels,Lana Del Rey}","Rick Nowels,Lana Del Rey",,
"Name","0.25","Name-{dbpedia_1856|musicbrainz_30085|musicbrainz_9864|spotify_9978}","{True Love (Coldplay song)|True Love|True Love (instrumental)|True Love}","True Love",,
"Duration","1.0","Duration-{spotify_15470}","{194840.0}","194840.0",,
"Duration","1.0","Duration-{spotify_13075}","{223880.0}","223880.0",,
"Genre","0.5","Genre-{dbpedia_8881|dbpedia_7374}","{Trap music|Trap music}","Trap music",,
"Writer","1.0","Writer-{dbpedia_2169}","{Michael Knox}","Michael Knox",,
"Writer","1.0","Writer-{dbpedia_9469}","{Kevin Churko}","Kevin Churko",,
"Name","0.3333333333333333","Name-{dbpedia_10534|dbpedia_7369|spotify_11196}","{I Hate U, I Love U|I Hate U, I Love U|i hate u, i love u (feat. olivia o'brien)}","I Hate U, I Love U",,
"Artist","1.0","Artist-{musicbrainz_16134|dbpedia_8637}","{[Hoobastank]|[Hoobastank]}","[Hoobastank]",,
"Artist","1.0","Artist-{dbpedia_1559|musicbrainz_30076}","{[Coldplay]|[Coldplay]}","[Coldplay]",,
"Writer","1.0","Writer-{dbpedia_6708}","{Bangladesh}","Bangladesh",,
"RecordLabel","1.0","RecordLabel-{dbpedia_323}","{Polo Grounds Music,RCA Records}","Polo Grounds Music,RCA Records",,
"Genre","1.0","Genre-{musicbrainz_6853}","{united states}","united states",,
"Duration","1.0","Duration-{spotify_3541}","{220693.0}","220693.0",,
"Genre","0.5","Genre-{dbpedia_3997|dbpedia_576}","{Contemporary R,B|Contemporary R,B}","Contemporary R,B",,
"Genre","0.0","Genre-{dbpedia_8244|musicbrainz_18361}","{Alternative rock|rock}","Alternative rock",,
"RecordLabel","1.0","RecordLabel-{dbpedia_8842}","{Broken Bow Records}","Broken Bow Records",,
"Album","1.0","Album-{dbpedia_7552}","{Hits Alive}","Hits Alive",,
"Year","0.0","Year-{spotify_10811|dbpedia_8868}","{2011-01-01T00:00|2010-01-01T00:00}","2011-01-01T00:00",,
"Duration","1.0","Duration-{spotify_16678}","{211067.0}","211067.0",,
"Duration","1.0","Duration-{spotify_14015}","{236227.0}","236227.0",,
"Album","1.0","Album-{dbpedia_3859}","{The Electric Lady}","The Electric Lady",,
"Album","0.6666666666666666","Album-{musicbrainz_13484|dbpedia_3881|dbpedia_5561}","{Cry Baby|Cry Baby|Cry Baby}","Cry Baby",,
"Writer","1.0","Writer-{dbpedia_6709}","{Michael Knox}","Michael Knox",,
"Album","0.3333333333333333","Album-{dbpedia_2734|dbpedia_684|dbpedia_4753}","{To the Sky|To the Sky|To the Sky}","To the Sky",,
"Genre","0.0","Genre-{dbpedia_9361|musicbrainz_26075}","{Emo pop|pop punk}","pop punk",,
"Album","1.0","Album-{dbpedia_2658}","{Glory}","Glory",,
"Duration","1.0","Duration-{spotify_18810}","{216791.0}","216791.0",,
"Name","0.0","Name-{spotify_4929|dbpedia_7153}","{The Light|The Light (Disturbed song)}","The Light",,
"Producer","1.0","Producer-{dbpedia_2880}","{Benjamin Jackson Burnley IV,Benjamin Burnley}","Benjamin Jackson Burnley IV,Benjamin Burnley",,
"Name","0.5","Name-{spotify_13699|musicbrainz_30644}","{Machu Picchu|Machu Picchu}","Machu Picchu",,
"Album","1.0","Album-{musicbrainz_5975|dbpedia_11055}","{Funstyle|Funstyle}","Funstyle",,
"Year","1.0","Year-{spotify_10836|dbpedia_3698}","{2012-01-01T00:00|2012-01-01T00:00}","2012-01-01T00:00",,
"RecordLabel","1.0","RecordLabel-{dbpedia_324}","{RCA Records}","RCA Records",,
"Duration","1.0","Duration-{spotify_12716}","{243354.0}","243354.0",,
"Genre","0.5","Genre-{dbpedia_4512|dbpedia_3809}","{Eurodance,House music|House music,Eurodance}","Eurodance,House music",,
"Year","1.0","Year-{spotify_9736|dbpedia_827}","{2011-01-01T00:00|2011-01-01T00:00}","2011-01-01T00:00",,
"Album","1.0","Album-{dbpedia_3856}","{Same Trailer Different Park}","Same Trailer Different Park",,
"Name","0.0","Name-{musicbrainz_19808|dbpedia_11173}","{Letter to God|Letter to God (song)}","Letter to God",,
"Name","0.5","Name-{musicbrainz_33670|spotify_18750}","{I Get Around|I Get Around}","I Get Around",,
"Producer","1.0","Producer-{dbpedia_4181}","{Malik Yusef,Charlie Wilson,Kanye West,John Legend,Ronnie Self}","Malik Yusef,Charlie Wilson,Kanye West,John Legend,Ronnie Self",,
